    sampleName       entries      integral         error  error/integ.
     ttbarFake           712       105.215       4.41265     0.0419395
         ttbar           202       25.5584       1.91314     0.0748536
        stopWt            30       3.68259      0.684298       0.18582
         stopt             7      0.957693      0.525907       0.54914
         stops             2     0.0818794      0.057904      0.707186
         Zttbb            12      0.134537      0.155278       1.15416
         Zttbc             1    0.00175686    0.00175686             1
         Zttbl             2      0.144792      0.120384      0.831427
         Zttcc             0             0             0             0
         Zttcl             0             0             0             0
          Zttl             0             0             0             0
           Wtt             1      0.095434      0.095434             1
             W             0             0             0             0
           Zbb            17      0.270385      0.111387      0.411957
           Zbc             3     0.0693586     0.0702139       1.01233
           Zbl             2     0.0292536     0.0234104      0.800259
           Zcc             0             0             0             0
           Zcl             1       0.12817       0.12817             1
            Zl             0             0             0             0
            ZZ             1     0.0196685     0.0196685             1
            WW             0             0             0             0
            WZ             2     0.0564354     0.0419119      0.742652
           ttH           290      0.315718     0.0214625     0.0679801
    VBFHtautau             0             0             0             0
    ggFHtautau             0             0             0             0
    ggZHtautau             0             0             0             0
    qqZHtautau             0             0             0             0
        ggZHbb             2   0.000654821   0.000463734      0.708185
        qqZHbb             2    0.00097251   0.000854707      0.878868
      WHtautau             0             0             0             0
          WHbb             2    0.00158923     0.0011347      0.713997
          DYtt             0             0             0             0
            DY             3      0.285483      0.181631      0.636223
         bkg:           1294        137.05
          data           528           528
