    sampleName       entries      integral         error  error/integ.
     ttbarFake           982       144.685       5.15037     0.0355971
         ttbar           263       33.5686       2.21703     0.0660448
        stopWt            39       4.60786      0.768731       0.16683
         stopt            11       1.22669      0.551421      0.449519
         stops             4      0.126783     0.0669808      0.528312
         Zttbb            14      0.226207      0.169076       0.74744
         Zttbc             2     0.0491911     0.0474667      0.964946
         Zttbl             3      0.150678      0.120527      0.799901
         Zttcc             0             0             0             0
         Zttcl             0             0             0             0
          Zttl             0             0             0             0
           Wtt             2      0.112476     0.0969437      0.861905
             W             1      0.103219      0.103219             1
           Zbb            23      0.382953      0.122094      0.318823
           Zbc             3     0.0693586     0.0702139       1.01233
           Zbl             4     0.0620519     0.0394977      0.636526
           Zcc             1     0.0472623     0.0472623             1
           Zcl             1       0.12817       0.12817             1
            Zl             0             0             0             0
            ZZ             1     0.0196685     0.0196685             1
            WW             0             0             0             0
            WZ             2     0.0564354     0.0419119      0.742652
           ttH           380      0.402228     0.0243023     0.0604192
    VBFHtautau             0             0             0             0
    ggFHtautau             0             0             0             0
    ggZHtautau             0             0             0             0
    qqZHtautau             0             0             0             0
        ggZHbb             2   0.000654821   0.000463734      0.708185
        qqZHbb             3    0.00217789    0.00147766       0.67848
      WHtautau             0             0             0             0
          WHbb             3    0.00190097    0.00117675      0.619025
          DYtt             0             0             0             0
            DY             4      0.574263       0.34115      0.594067
         bkg:           1748       186.604
          data           758           758
