    sampleName       entries      integral         error  error/integ.
     ttbarFake          6520       951.143       13.3094      0.013993
         ttbar          1003       130.332       4.51129     0.0346139
        stopWt           303       33.6489       2.04264     0.0607044
         stopt            83       9.74244       1.48651       0.15258
         stops            24      0.582451       0.13504      0.231848
         Zttbb            36       1.31594      0.399931      0.303914
         Zttbc             3     0.0849613     0.0553714      0.651725
         Zttbl            16      0.227444      0.105414      0.463471
         Zttcc             0             0             0             0
         Zttcl             1     0.0308564     0.0308564             1
          Zttl             0             0             0             0
           Wtt            11      0.509727      0.225597      0.442584
             W             3      0.144871     0.0995482      0.687153
           Zbb           259       6.86229      0.952489        0.1388
           Zbc            36      0.848986      0.189875      0.223649
           Zbl            28      0.274757     0.0907013      0.330115
           Zcc             2    -0.0086049      0.067689      -7.86633
           Zcl             6      0.486737      0.266745      0.548027
            Zl             2       1.54522       1.53141      0.991058
            ZZ             4      0.126337     0.0721712       0.57126
            WW             1       0.15604       0.15604             1
            WZ             8      0.366696      0.204862      0.558671
           ttH          2317       2.62474     0.0641439     0.0244382
    VBFHtautau             0             0             0             0
    ggFHtautau             2     0.0179773     0.0137543      0.765091
    ggZHtautau             0             0             0             0
    qqZHtautau             0             0             0             0
        ggZHbb            11    0.00237998    0.00084989      0.357099
        qqZHbb            25    0.00796714    0.00254224       0.31909
      WHtautau             0             0             0             0
          WHbb            16     0.0201132    0.00703254      0.349649
          DYtt             1     0.0653564     0.0653564             1
            DY            22       1.11255      0.471568      0.423861
         bkg:          10743       1142.27
          data          5209          5209
