    sampleName       entries      integral         error  error/integ.
     ttbarFake          3088       447.075       9.07489     0.0202984
         ttbar           594        76.368       3.37484     0.0441918
        stopWt           151       16.6725       1.42643     0.0855562
         stopt            41       4.82249       1.01304      0.210065
         stops            12      0.255549      0.087369      0.341888
         Zttbb            24      0.813159      0.359499      0.442101
         Zttbc             2      0.051267     0.0439396      0.857073
         Zttbl             7      0.184008     0.0767599      0.417154
         Zttcc             0             0             0             0
         Zttcl             1     0.0308564     0.0308564             1
          Zttl             0             0             0             0
           Wtt             8      0.476394      0.224716      0.471701
             W             1     0.0768889     0.0768889             1
           Zbb           130       3.67304      0.555267      0.151174
           Zbc            14      0.283032      0.114477      0.404467
           Zbl            10     0.0684095     0.0484256      0.707877
           Zcc             1     -0.051972      0.051972            -1
           Zcl             3      0.317259      0.230144      0.725414
            Zl             0             0             0             0
            ZZ             1     0.0183894     0.0183894             1
            WW             0             0             0             0
            WZ             5      0.320335      0.202697      0.632766
           ttH          1209       1.31748     0.0447139     0.0339388
    VBFHtautau             0             0             0             0
    ggFHtautau             2     0.0179773     0.0137543      0.765091
    ggZHtautau             0             0             0             0
    qqZHtautau             0             0             0             0
        ggZHbb             5   0.000750649   0.000457127      0.608976
        qqZHbb            15    0.00539162    0.00222703      0.413054
      WHtautau             0             0             0             0
          WHbb            11     0.0129591    0.00567479      0.437901
          DYtt             0             0             0             0
            DY             7      0.369695      0.159799      0.432245
         bkg:           5342       553.178
          data          2415          2415
