    sampleName       entries      integral         error  error/integ.
          Fake        146138       16928.6       104.611    0.00617954
         ttbar          8536       1069.21       12.0787     0.0112968
        stopWt          1142       142.477       4.37309     0.0306932
         stopt           206       24.4566       2.38336     0.0974525
         stops            32      0.982656      0.182394      0.185613
         Zttbb           471        18.557       3.01759      0.162612
         Zttbc           626       29.3342       2.85721      0.097402
         Zttbl          9132       309.577       10.1379     0.0327475
         Zttcc          3613         348.6       20.6233     0.0591605
         Zttcl         31959       2261.97       43.5945     0.0192728
          Zttl        325737       18369.7       143.424    0.00780763
           Wtt           656       107.799       13.0359      0.120927
             W           512       163.263       60.6961      0.371769
           Zbb            79       1.63696      0.572319      0.349623
           Zbc           116       2.92754      0.657479      0.224584
           Zbl          1518       23.9363       4.11925      0.172092
           Zcc           333       37.7985       8.19499      0.216807
           Zcl          2867       194.666        14.205     0.0729712
            Zl         18506       1274.47       38.7121      0.030375
            ZZ          4991       72.9264       1.69877     0.0232944
            WW           678       71.3156       4.05063     0.0567987
            WZ         14847       218.781       3.20832     0.0146645
           ttH          2846       3.13493     0.0707588     0.0225711
    VBFHtautau         33037       52.8244      0.301058    0.00569923
    ggFHtautau         23586       211.821       1.61179    0.00760918
    ggZHtautau           584       2.10905     0.0899733     0.0426605
    qqZHtautau          1100       5.13533      0.161847     0.0315164
        ggZHbb           387      0.179198     0.0678186      0.378457
        qqZHbb           887      0.314126     0.0165187     0.0525864
      WHtautau          1373       10.8528      0.317379     0.0292441
          WHbb            39     0.0663746     0.0163547        0.2464
          DYtt            66       11.2865       3.84108      0.340327
            DY           350       114.783       20.2499       0.17642
         bkg:         636950       42085.5
          data         42728         42728
