    sampleName       entries      integral         error  error/integ.
          Fake        105094       13169.2       96.1998     0.0073049
         ttbar          6710       846.163       10.7838     0.0127444
        stopWt           926       115.914       3.95504     0.0341204
         stopt           164       18.4007       2.06385      0.112162
         stops            24       0.71711      0.154939       0.21606
         Zttbb           382       15.2013       2.87676      0.189244
         Zttbc           487       21.8721       2.68965      0.122972
         Zttbl          7251       249.399       9.30404     0.0373058
         Zttcc          2867       278.287       18.6031     0.0668484
         Zttcl         25345       1824.35       38.7968     0.0212661
          Zttl        259700       14708.9        128.17    0.00871374
           Wtt           485       77.7581       9.84378      0.126595
             W           283       116.001       60.3699      0.520428
           Zbb            76       1.60605      0.570193      0.355029
           Zbc           109       2.80013      0.653479      0.233374
           Zbl          1462       22.8219       4.09982      0.179644
           Zcc           321        36.925       8.18682      0.221715
           Zcl          2714       190.483       13.9185     0.0730697
            Zl         17464       1180.14       37.1306      0.031463
            ZZ          4058       60.1253       1.53977     0.0256094
            WW           484       53.1877       3.51639     0.0661128
            WZ         12001       176.002       2.87152     0.0163153
           ttH          2283       2.52305     0.0637489     0.0252666
    VBFHtautau         26354       42.3458      0.270306     0.0063833
    ggFHtautau         19032       171.604       1.45642     0.0084871
    ggZHtautau           465       1.69249     0.0807761     0.0477261
    qqZHtautau           870       4.07124       0.14438     0.0354633
        ggZHbb           323      0.161784     0.0677777      0.418938
        qqZHbb           714      0.250258     0.0147742     0.0590358
      WHtautau          1106       8.81154      0.287632     0.0326426
          WHbb            29     0.0330517    0.00901648      0.272799
          DYtt            46       9.54164       2.33477      0.244693
            DY           250       67.5151       7.76494       0.11501
         bkg:         499879       33474.8
          data         34351         34351
