    sampleName       entries      integral         error  error/integ.
          Fake         72755       5506.45       55.3887     0.0100589
         ttbar         40465       4904.93       25.4618    0.00519106
        stopWt          4069       496.504       8.09919     0.0163124
         stopt           559       62.9601       3.77834     0.0600118
         stops           117       3.23567      0.313316     0.0968319
         Zttbb          3792       174.319       9.70444     0.0556707
         Zttbc          2688       128.699       5.84487     0.0454151
         Zttbl         37386        1364.7       19.4185     0.0142292
         Zttcc          1402       201.896        15.981     0.0791546
         Zttcl          7618       684.676       28.0345     0.0409457
          Zttl          6022       348.716       22.6183     0.0648617
           Wtt           208       22.6372       2.61373      0.115462
             W           117       13.1604       2.70358      0.205433
           Zbb           623       17.8839       2.97216      0.166192
           Zbc           425       12.9983         1.938      0.149097
           Zbl          6045       131.431       6.16711     0.0469227
           Zcc           139       16.7423       8.07705      0.482433
           Zcl           660       72.5086       10.5613      0.145656
            Zl           317        27.081       6.15031      0.227108
            ZZ          1226        19.665        0.9641     0.0490262
            WW            49       6.97657       1.19416      0.171167
            WZ          1550       31.9388       1.39167     0.0435729
           ttH         12847       12.4726      0.136056     0.0109083
    VBFHtautau          2840       4.57331     0.0892141     0.0195076
    ggFHtautau          2205       19.8292      0.494901     0.0249582
    ggZHtautau           139      0.495949      0.043802     0.0883196
    qqZHtautau           274       1.29645     0.0820556     0.0632925
        ggZHbb          1460      0.533897     0.0860464      0.161167
        qqZHbb          3474       1.10652     0.0295188      0.026677
      WHtautau           165        1.2837      0.107894     0.0840498
          WHbb           124       0.16138     0.0216496      0.134153
          DYtt             8      0.945563      0.403875      0.427127
            DY            59       11.6865       3.17552      0.271726
         bkg:         211827       14304.5
          data         14286         14286
