    sampleName       entries      integral         error  error/integ.
          Fake       2217910        110523       236.441    0.00213929
         ttbar         87279       10649.7       37.9623    0.00356463
        stopWt         15053       1841.84       15.7221    0.00853607
         stopt          3343       370.662       9.16264     0.0247197
         stops           368       9.80415      0.556663     0.0567782
         Zttbb          1157       47.9173       5.48766      0.114524
         Zttbc          1384       55.9999       4.73013     0.0844668
         Zttbl         21488       692.681       18.6022     0.0268554
         Zttcc          8103       744.094       34.5028     0.0463688
         Zttcl         76934       4736.49       66.7832     0.0140997
          Zttl        836162       39633.7       210.408    0.00530881
           Wtt          1906       208.996        23.601      0.112925
             W         10225        2390.1       111.996     0.0468582
           Zbb          1071       31.9821        6.3578      0.198792
           Zbc          1296       38.4752       5.20571        0.1353
           Zbl         19907       459.855       16.9943     0.0369558
           Zcc          4452       462.463       33.3907      0.072202
           Zcl         41085       3151.09       68.2756     0.0216673
            Zl        269771       21034.1       169.834    0.00807422
            ZZ         16921        241.97       3.11228     0.0128623
            WW         18292       1675.39       19.8471     0.0118463
            WZ         58926       1039.44       8.31157    0.00799619
           ttH         20924       18.4499      0.163241    0.00884781
    VBFHtautau         95423       149.781      0.517878    0.00345756
    ggFHtautau         76554        635.33       2.73773    0.00430914
    ggZHtautau          1902       6.78703      0.160791     0.0236909
    qqZHtautau          3470       15.7683      0.282719     0.0179296
        ggZHbb          1469      0.709219      0.121983      0.171996
        qqZHbb          4513       1.19627     0.0299528     0.0250386
      WHtautau          4924       37.9543      0.586908     0.0154636
          WHbb           983       1.26667     0.0658312      0.051972
          DYtt           181        49.022       7.07893      0.144403
            DY          2160       574.662       57.6817      0.100375
         bkg:    3.92554e+06        201531
          data        213124        213124
