    sampleName       entries      integral         error  error/integ.
          Fake       3091878         55799       139.241     0.0024954
         ttbar        536899       63229.2       90.4342    0.00143026
        stopWt         64657       7725.77       31.7098    0.00410442
         stopt         12392       1303.87       16.9353     0.0129885
         stops          2042       55.3649       1.30964     0.0236546
         Zttbb         11041       499.563       16.6091     0.0332472
         Zttbc          7648       334.416       10.7936     0.0322761
         Zttbl        110530       3643.79       34.9713    0.00959751
         Zttcc          4357        542.42        35.111     0.0647303
         Zttcl         24790       1843.52       50.9984     0.0276635
          Zttl         21849       978.749       34.6818     0.0354349
           Wtt           571       76.3876       14.5038      0.189871
             W          5587       703.191       27.4864     0.0390881
           Zbb          8626       268.652       16.4519     0.0612388
           Zbc          6045       181.866        9.2834     0.0510454
           Zbl         88534        2014.8       32.2332     0.0159983
           Zcc          1867       299.405       27.1188     0.0905757
           Zcl         10804       959.251       44.5389      0.046431
            Zl          5961        412.85        25.905     0.0627468
            ZZ          4981       75.8064       1.84038     0.0242774
            WW          2181       252.611       8.62907     0.0341596
            WZ          8681       210.717       4.23967     0.0201203
           ttH        123375       98.0325      0.362095    0.00369362
    VBFHtautau         10733       16.7635      0.171402     0.0102247
    ggFHtautau          8992       74.5164      0.938022     0.0125881
    ggZHtautau           554       1.91833     0.0847029     0.0441545
    qqZHtautau          1083       4.84704      0.157045     0.0324003
        ggZHbb          7043        2.2771      0.134043     0.0588659
        qqZHbb         20024       4.91937       0.05773     0.0117352
      WHtautau           796       5.93896      0.228158     0.0384171
          WHbb          3969       4.39896      0.112754     0.0256319
          DYtt            55       7.49572        2.9364      0.391743
            DY           522       81.3075       6.68895     0.0822673
         bkg:    4.20907e+06        141714
          data        141383        141383
