    sampleName       entries      integral         error  error/integ.
     ttbarFake         18029       2286.84       17.7029     0.0077412
         ttbar          4806       603.814        9.0521     0.0149916
        stopWt           615       72.7124       3.04038     0.0418138
         stopt           377       46.5025       6.21477      0.133644
         stops           119       3.29061      0.318234     0.0967097
         Zttbb           634       43.4474       3.94716     0.0908493
         Zttbc            55       3.85017      0.793505      0.206096
         Zttbl            31      0.167433       1.27503       7.61516
         Zttcc            18       2.72567       0.90752      0.332953
         Zttcl            10      0.996044      0.442253      0.444009
          Zttl             6       0.87555      0.586059      0.669361
           Wtt             3      0.343572      0.202779      0.590209
             W             9      0.528903      0.209253      0.395635
           Zbb           541       10.5748       1.60684       0.15195
           Zbc            38       1.09257      0.224372      0.205362
           Zbl            30        0.8555       0.43427      0.507621
           Zcc             8       1.11486      0.512375      0.459585
           Zcl             2     0.0260579      0.021597      0.828807
            Zl             2      0.157823      0.115182      0.729817
            ZZ            18      0.223326     0.0926496      0.414863
            WW             2      0.526244       0.37271      0.708245
            WZ            14      0.447175      0.178991      0.400271
           ttH          2713       2.95543     0.0671357     0.0227161
    VBFHtautau            10     0.0155694    0.00509724      0.327389
    ggFHtautau             6     0.0526616     0.0260959       0.49554
    ggZHtautau             0             0             0             0
    qqZHtautau             2    0.00812823    0.00585754      0.720642
        ggZHbb            27    0.00670501    0.00142001      0.211784
        qqZHbb            55     0.0239165    0.00493715      0.206433
      WHtautau             0             0             0             0
          WHbb             9     0.0172844    0.00849422      0.491438
          DYtt             0             0             0             0
            DY            11      0.789309      0.246348      0.312106
         bkg:          28200       3084.98
          data          3223          3223
