    sampleName       entries      integral         error  error/integ.
     ttbarFake         24580       2899.83       19.3071      0.006658
         ttbar          6695       780.175       9.93424     0.0127334
        stopWt           868       102.419       3.60272     0.0351762
         stopt           503       62.0109       6.48713      0.104613
         stops           161       4.53413      0.376166     0.0829632
         Zttbb           902       56.4162       4.65227     0.0824634
         Zttbc            73       6.91472       2.34221      0.338728
         Zttbl            48       1.16959       1.33837       1.14431
         Zttcc            24       6.36545       2.92306      0.459207
         Zttcl            13       1.22387      0.470101      0.384109
          Zttl             6       0.87555      0.586059      0.669361
           Wtt             8       1.12061      0.577515      0.515357
             W            20        1.7015      0.668631      0.392965
           Zbb           585       11.4955       1.61897      0.140835
           Zbc            44       1.27461      0.237111      0.186026
           Zbl            35      0.972308      0.437695      0.450161
           Zcc             8       1.11486      0.512375      0.459585
           Zcl             3     0.0326485     0.0225802      0.691615
            Zl             3      0.173743      0.116277      0.669247
            ZZ            21      0.289488      0.101095      0.349221
            WW             2      0.526244       0.37271      0.708245
            WZ            21      0.686091      0.203819      0.297073
           ttH          3603       3.95172     0.0777787     0.0196822
    VBFHtautau            13     0.0207354    0.00592091      0.285545
    ggFHtautau             9     0.0833475     0.0328337      0.393938
    ggZHtautau             0             0             0             0
    qqZHtautau             3      0.014643    0.00876087      0.598298
        ggZHbb            31    0.00770716    0.00152081      0.197324
        qqZHbb            70     0.0288964    0.00533857      0.184748
      WHtautau             0             0             0             0
          WHbb            12     0.0210278    0.00902089      0.428999
          DYtt             0             0             0             0
            DY            17       1.14118      0.288021      0.252389
         bkg:          38381       3946.59
          data          4508          4508
