    sampleName       entries      integral         error  error/integ.
     ttbarFake          6551        767.89       9.92538     0.0129255
         ttbar          1889       221.792       5.30126      0.023902
        stopWt           253       29.7069       1.93279      0.065062
         stopt           126       15.5083       1.85997      0.119934
         stops            42       1.24351      0.200568      0.161292
         Zttbb           268       12.9688       2.46241      0.189872
         Zttbc            18       3.06455        2.2037      0.719095
         Zttbl            17       1.00216       0.40687      0.405994
         Zttcc             6       3.63978       2.77861      0.763399
         Zttcl             3      0.227829      0.159397      0.699633
          Zttl             0             0             0             0
           Wtt             5       0.77704      0.540744      0.695902
             W            11        1.1726      0.635044      0.541568
           Zbb            44      0.920688      0.197834      0.214877
           Zbc             6      0.182042     0.0766737      0.421186
           Zbl             5      0.116808     0.0546479      0.467844
           Zcc             0             0             0             0
           Zcl             1     0.0065906     0.0065906             1
            Zl             1     0.0159201     0.0159201             1
            ZZ             3     0.0661627     0.0404514      0.611393
            WW             0             0             0             0
            WZ             7      0.238915     0.0974905      0.408055
           ttH           890      0.996294     0.0392724     0.0394185
    VBFHtautau             3    0.00516604    0.00301252       0.58314
    ggFHtautau             3     0.0306859     0.0199263      0.649363
    ggZHtautau             0             0             0             0
    qqZHtautau             1    0.00651476    0.00651476             1
        ggZHbb             4    0.00100215   0.000544434      0.543263
        qqZHbb            15    0.00497992    0.00203098      0.407834
      WHtautau             0             0             0             0
          WHbb             3    0.00374332    0.00303722       0.81137
          DYtt             0             0             0             0
            DY             6      0.351868      0.149226      0.424095
         bkg:          10181       1061.94
          data          1285          1285
