    sampleName       entries      integral         error  error/integ.
     ttbarFake       1319500        150038       136.799   0.000911763
         ttbar        201009       22744.4       53.1544    0.00233703
        stopWt         52331       6134.88       27.9311    0.00455283
         stopt         25844       2603.08       24.1432    0.00927485
         stops          7949       209.732       2.51449     0.0119891
         Zttbb          5946       300.972       11.6219     0.0386146
         Zttbc           554       29.8537       4.07281      0.136426
         Zttbl           629        17.416       3.42654      0.196746
         Zttcc           144       13.2592       5.25296      0.396174
         Zttcl           168       16.7611       5.83504       0.34813
          Zttl           115       4.23612       1.71214      0.404175
           Wtt            97       10.3395       3.91931       0.37906
             W          1459       105.803       13.1414      0.124206
           Zbb         20080       575.041       15.6989     0.0273005
           Zbc          2516       75.4365       3.48305     0.0461719
           Zbl          1674        38.542       4.46318        0.1158
           Zcc           360       49.2521       12.4369      0.252515
           Zcl           320       17.0828        4.4717      0.261766
            Zl           112       9.28482       3.17858      0.342341
            ZZ           289       5.85952      0.468132     0.0798926
            WW           357        46.943       3.75995     0.0800961
            WZ           976        41.436       2.09774     0.0506262
           ttH        123758       138.859       0.46543    0.00335183
    VBFHtautau           131      0.191717     0.0179612     0.0936859
    ggFHtautau           134      0.938657      0.103436      0.110196
    ggZHtautau             0             0             0             0
    qqZHtautau            23      0.111079     0.0241895      0.217767
        ggZHbb           409      0.107645    0.00594152     0.0551953
        qqZHbb          1398      0.533197     0.0218809     0.0410371
      WHtautau            11     0.0839436      0.027453      0.327042
          WHbb          2071       2.34217     0.0828158     0.0353586
          DYtt            26       3.38235       1.77043      0.523431
            DY           305       37.9122       5.46962      0.144271
         bkg:     1.7707e+06        183272
          data        187550        187550
