    sampleName       entries      integral         error  error/integ.
     ttbarFake        629740         71592       94.5178    0.00132023
         ttbar        109448       12326.5       39.0739    0.00316991
        stopWt         25463       2981.58       19.4702    0.00653015
         stopt         12783        1278.6       16.9027     0.0132197
         stops          3940         103.5       1.76621     0.0170648
         Zttbb          3545       176.132       9.49966     0.0539349
         Zttbc           317        18.783       3.62819      0.193163
         Zttbl           305       7.50619       2.66733       0.35535
         Zttcc            84       7.97711       3.37011      0.422472
         Zttcl            84       5.46386       1.22745      0.224649
          Zttl            56       3.12075       1.69698      0.543773
           Wtt            33       2.99018      0.697218      0.233169
             W           462        32.169       3.17501      0.098698
           Zbb         11860       342.904       12.5195     0.0365102
           Zbc          1259       40.5393       2.48788     0.0613696
           Zbl           826       19.1202       3.41221      0.178461
           Zcc           193       18.7457       9.88942      0.527555
           Zcl           146       5.57665       2.09381      0.375461
            Zl            53       3.75232       2.57181      0.685393
            ZZ           140       2.68911      0.317551      0.118088
            WW           160       20.3119       2.38601      0.117469
            WZ           453       18.3605       1.43759     0.0782975
           ttH         65509       68.8446      0.323575    0.00470007
    VBFHtautau            86         0.125     0.0144892      0.115914
    ggFHtautau            80      0.612651     0.0856676      0.139831
    ggZHtautau             0             0             0             0
    qqZHtautau            16     0.0816164     0.0212377      0.260213
        ggZHbb           258      0.068358    0.00478509     0.0700005
        qqZHbb           845       0.31909     0.0168037     0.0526614
      WHtautau             6     0.0395721     0.0167372      0.422955
          WHbb           974       1.13305     0.0580576       0.05124
          DYtt             8     -0.180433      0.701066      -3.88546
            DY           130       18.1138       4.38904      0.242304
         bkg:         869262       89097.4
          data         87829         87829
