    sampleName       entries      integral         error  error/integ.
        hhttbb         35045       1.41619    0.00884325    0.00624442
          Fake         39074       2146.46       41.7068     0.0194305
         ttbar         32873       4213.13       24.0372    0.00570529
        stopWt          1408       169.885       4.70386     0.0276885
         stopt           246       26.1433       2.43237       0.09304
         stops            61       1.67079      0.229598      0.137419
         Zttbb          7271        492.98       14.9292     0.0302837
         Zttbc           634       48.5888       5.70243      0.117361
         Zttbl           406        27.858       3.23106      0.115983
         Zttcc           174       39.4654       10.1302      0.256685
         Zttcl            86       8.40721       4.96063      0.590045
          Zttl            57       10.8339       7.33489       0.67703
           Wtt            22       2.69751      0.965843       0.35805
             W            16       1.32893      0.346734      0.260912
           Zbb          1230       47.0333       5.58353      0.118714
           Zbc            92       5.31638       1.15717      0.217661
           Zbl            58       1.21506      0.888987       0.73164
           Zcc            14       5.71318       4.34844      0.761125
           Zcl             5      0.851866      0.607062      0.712626
            Zl             2     0.0408164     0.0288618      0.707111
            ZZ          1360       17.2611      0.944402     0.0547128
            WW             4      0.431594      0.234768      0.543956
            WZ           119       3.56164      0.530295      0.148891
           ttH         12859       11.0081      0.122498      0.011128
    VBFHtautau           235      0.371513     0.0250572     0.0674461
    ggFHtautau           461       4.57755      0.244474     0.0534072
    ggZHtautau           218      0.740751     0.0521924     0.0704587
    qqZHtautau           458       2.17897      0.105916     0.0486085
        ggZHbb          3745       1.45643      0.138892     0.0953653
        qqZHbb         12427       3.85326     0.0548691     0.0142397
      WHtautau            23       0.17832     0.0396484      0.222345
          WHbb            82      0.173515     0.0260883      0.150351
          DYtt             3      0.259713       0.16896      0.650563
            DY             6      0.569356      0.284264      0.499274
         bkg:         115729       7296.25
          data          6351          6351
