    sampleName       entries      integral         error  error/integ.
          Fake       2054613       35833.8       116.072    0.00323918
         ttbar        490058       61707.3       91.4456    0.00148192
        stopWt         25910       3068.72       19.8006    0.00645239
         stopt          5798       597.841        11.146     0.0186438
         stops          1450       38.0965        1.0672      0.028013
         Zttbb         21473       1448.64       27.6084     0.0190582
         Zttbc          1746       141.349       10.9815     0.0776908
         Zttbl          1184       62.7492       6.58925      0.105009
         Zttcc           608       165.596       30.5767      0.184647
         Zttcl           216       12.6376       9.48049       0.75018
          Zttl           122       15.5227       5.58566      0.359837
           Wtt            76       5.51685      0.816626      0.148024
             W           747       77.4938       8.40607      0.108474
           Zbb         17645       808.423       26.1583     0.0323572
           Zbc          1467       80.0456       10.2374      0.127894
           Zbl          1006        39.466        5.8992      0.149476
           Zcc           278       88.7066        22.902      0.258177
           Zcl           135       23.1748       10.3849      0.448113
            Zl            30       4.12479       2.02455      0.490825
            ZZ          6754       84.6051       2.08094      0.024596
            WW           110       14.0836       2.19759      0.156039
            WZ          1992       60.1072       2.73295     0.0454678
           ttH        133199       93.2328      0.334281    0.00358544
    VBFHtautau           933        1.4224     0.0491357     0.0345442
    ggFHtautau          2159       17.1723      0.443422     0.0258219
    ggZHtautau           838       2.87863       0.10284     0.0357255
    qqZHtautau          1923       8.49719      0.206055     0.0242498
        ggZHbb         17317       5.79964      0.227157     0.0391674
        qqZHbb         71572       17.6747      0.110896    0.00627425
      WHtautau            92      0.714224     0.0805373      0.112762
          WHbb          6054       6.94652      0.143376       0.02064
          DYtt             9       2.65878       1.72628      0.649276
            DY            68       13.5159       3.40597      0.251998
         bkg:    2.86758e+06        104548
          data         98456         98456
