    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           113        14.987       1.55065      0.103467
       ttbarFT           320       23.1659       1.38885     0.0599526
       ttbarTF           528       36.4586       1.65138     0.0452946
         ttbar           134       9.66101       0.89119      0.092246
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            49       6.47757      0.958998      0.148049
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             6       1.51724      0.650522      0.428753
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            10        0.3283      0.105338      0.320858
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl            10   -0.00220872    0.00294817      -1.33478
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             1     0.0213784     0.0213784             1
         Zttbb            67       2.56561      0.448948      0.174987
         Zttbc            29      0.187364     0.0601369      0.320963
         Zttbl           240      0.249445     0.0363941        0.1459
         Zttcc            29     0.0715548     0.0217744      0.304303
         Zttcl            82     0.0771292     0.0163645       0.21217
          Zttl           237     0.0121136    0.00198557      0.163913
           Wtt           493       4.00385      0.467598      0.116787
            WW             3   0.000597556   0.000656349       1.09839
            WZ            34     0.0742392      0.045473       0.61252
            ZZ            37     0.0569852     0.0277689        0.4873
            ZH             0             0             0             0
         bkg:           2422       99.9136
          data           371         185.5
