    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            43       5.77261      0.992411      0.171917
       ttbarFT           174       12.7335       1.00034     0.0785598
       ttbarTF           350       25.9247       1.44947      0.055911
         ttbar           125       9.50963      0.895521     0.0941699
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            65       8.25658       1.06398      0.128864
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             7       1.92631      0.772861      0.401212
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             2     0.0455955     0.0323427      0.709341
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             5     -0.188474      0.243854      -1.29384
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             1     0.0317287     0.0317287             1
         Zttbb            14       0.55956      0.198582       0.35489
         Zttbc             9      0.385428      0.181411      0.470673
         Zttbl           136       3.55323      0.499309      0.140523
         Zttcc             7      0.190162     0.0977555      0.514065
         Zttcl            33      0.496319      0.181549       0.36579
          Zttl           101      0.631763      0.212976      0.337113
           Wtt           199       11.5877       1.22283      0.105529
            WW             3      0.166994      0.167724       1.00437
            WZ            13      0.438565      0.209451      0.477581
            ZZ            12     0.0582255     0.0396103      0.680291
            ZH             0             0             0             0
         bkg:           1299       82.0801
          data          1153         576.5
