    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           127       20.4941       1.88768     0.0921087
       ttbarFT          1363       95.0606       2.71239     0.0285333
       ttbarTF          2169       151.688       3.37858     0.0222732
         ttbar          7539       539.849       6.42125     0.0118945
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           500       66.5784       3.06465     0.0460307
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            39       8.47352       1.94989      0.230115
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            22      0.680648      0.150576      0.221224
            Zl             2  -0.000159353    0.00011268     -0.707107
           Zcl             0             0             0             0
           Zbl             8      0.160872      0.112506      0.699352
           Zcb             0             0             0             0
           Zbc             2     0.0126169    0.00892149      0.707107
           Zbb             0             0             0             0
         Zttbb           547       15.3445       1.08222     0.0705279
         Zttbc           258       1.37824      0.247733      0.179746
         Zttbl          1851      0.837674     0.0507128       0.06054
         Zttcc           214      0.749416      0.100677       0.13434
         Zttcl           502      0.230394     0.0288344      0.125153
          Zttl          1244    -0.0251067     0.0303374      -1.20834
           Wtt           672        8.0748       1.09559       0.13568
            WW            32      0.340593      0.179458        0.5269
            WZ            98      0.471897      0.137757      0.291923
            ZZ           143      0.295995     0.0535944      0.181065
            VH           725     0.0640815    0.00403318     0.0629383
         bkg:          18057       910.761
          data          1627         813.5
