    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            60       9.64754       1.29085      0.133801
       ttbarFT           673       46.9203          1.91     0.0407074
       ttbarTF          1054       74.0008       2.36577     0.0319695
         ttbar          3642       260.211        4.4568     0.0171277
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           244       32.6025       2.14855     0.0659012
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            23       5.04019       1.49436       0.29649
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            12      0.381037      0.113861      0.298818
            Zl             1  -7.96766e-05   7.96766e-05            -1
           Zcl             0             0             0             0
           Zbl             4     0.0804362      0.079554      0.989032
           Zcb             0             0             0             0
           Zbc             1    0.00630845    0.00630845             1
           Zbb             0             0             0             0
         Zttbb           267       7.80251      0.778298     0.0997496
         Zttbc           131      0.795027      0.226361      0.284721
         Zttbl           903      0.404333     0.0350717     0.0867396
         Zttcc           104      0.377787     0.0716078      0.189545
         Zttcl           245      0.104151     0.0190702      0.183101
          Zttl           619    -0.0123372     0.0214549      -1.73904
           Wtt           344       3.86118      0.762218      0.197405
            WW            14      0.169549       0.12689      0.748399
            WZ            50      0.241017      0.107137      0.444521
            ZZ            67      0.118934     0.0311727        0.2621
            VH           357     0.0313703    0.00284575     0.0907149
         bkg:           8815       442.783
          data           797         398.5
