    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           105        13.768       1.46989      0.106762
       ttbarFT           287       20.7438       1.31994     0.0636306
       ttbarTF           454       31.3534       1.53223     0.0488696
         ttbar           115       8.49752      0.825762     0.0971768
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            37       4.69479      0.805707      0.171617
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             5       1.25959      0.597321       0.47422
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            10        0.3283      0.105338      0.320858
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl            10   -0.00220872    0.00294817      -1.33478
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             1     0.0213784     0.0213784             1
         Zttbb            46       1.94402      0.422993      0.217587
         Zttbc            23      0.192032     0.0574834      0.299342
         Zttbl           184      0.216806     0.0356634      0.164495
         Zttcc            20      0.037747     0.0157964      0.418482
         Zttcl            61     0.0701729     0.0160931      0.229335
          Zttl           171     0.0096588     0.0018567      0.192229
           Wtt           353       2.30706      0.318877      0.138218
            WW             3   0.000597556   0.000656349       1.09839
            WZ            25     0.0576311     0.0427725      0.742177
            ZZ            26     0.0437011     0.0212891      0.487152
            ZH             0             0             0             0
         bkg:           1936        85.544
          data           327         163.5
