    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            11       2.07506      0.630359      0.303779
       ttbarFT           103       7.50526      0.758977      0.101126
       ttbarTF           222       16.6435       1.17072     0.0703412
         ttbar           860       63.0883       2.25847     0.0357986
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           255       34.1494       2.30132     0.0673897
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             4       1.11331      0.566918      0.509217
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             2     0.0903426     0.0638819      0.707107
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             0             0             0             0
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           172       5.02687      0.723984      0.144023
         Zttbc            54       1.11544      0.380188      0.340841
         Zttbl           812       20.4452       2.26279      0.110676
         Zttcc            52      0.471085      0.133782      0.283987
         Zttcl           201       2.34605      0.322017      0.137259
          Zttl           390       0.40051      0.122508       0.30588
           Wtt           285        12.903       1.23447     0.0956731
            WW             8      0.588659      0.244395      0.415172
            WZ            25      0.729768       0.24348      0.333641
            ZZ            39       0.26465     0.0658164      0.248693
            VH           390     0.0587657    0.00347977     0.0592143
         bkg:           3885       169.015
          data           594           297
