    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           410        126.98       6.68201     0.0526226
       ttbarFT          1986        288.23       6.76922     0.0234855
       ttbarTF          2738       398.478       7.89644     0.0198165
         ttbar          1219       174.038       5.15702     0.0296316
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           754       101.923       3.77816     0.0370687
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            54       11.9915       2.00282       0.16702
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            17      0.559288      0.140999      0.252105
            Zl             0             0             0             0
           Zcl             1     0.0291654     0.0291654             1
           Zbl            17      0.240523     0.0723259      0.300703
           Zcb             0             0             0             0
           Zbc             1    -0.0115875     0.0115875            -1
           Zbb             2     0.0646372      0.046141      0.713846
         Zttbb           103        2.8592      0.677804      0.237061
         Zttbc            48        1.1227      0.267838      0.238566
         Zttbl           698       16.2762       1.49286     0.0917201
         Zttcc            25      0.436341      0.163292      0.374229
         Zttcl           214       4.23529      0.626291      0.147874
          Zttl           559       1.59772      0.265486      0.166165
           Wtt          1326        71.193       3.10572      0.043624
            WW            36       2.73476       1.03861      0.379782
            WZ            68       2.05176      0.392446      0.191273
            ZZ            80      0.492119     0.0815287      0.165669
            VH           243     0.0510846    0.00440217     0.0861741
         bkg:          10599       1205.57
          data          8211          8211
