    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           118       36.5454       3.54118     0.0968981
       ttbarFT           521       74.5185       3.48369     0.0467494
       ttbarTF          1011       142.828       4.74312     0.0332087
         ttbar           458       64.8553       3.13825     0.0483885
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           321       41.5662       2.44222     0.0587551
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            12       3.65904       1.11135      0.303728
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             5       0.15737      0.071892      0.456835
            Zl             2    0.00133676    0.00101177      0.756885
           Zcl             0             0             0             0
           Zbl             6      0.157989     0.0789083      0.499454
           Zcb             0             0             0             0
           Zbc             2     0.0257079     0.0221305      0.860846
           Zbb             1     0.0186494     0.0186494             1
         Zttbb            68       2.17478      0.414897      0.190776
         Zttbc            27       0.35914      0.143982      0.400908
         Zttbl           416        10.557      0.795939     0.0753944
         Zttcc            21      0.458165      0.138079      0.301373
         Zttcl           133       1.59856      0.431645      0.270022
          Zttl           312      0.690495      0.110964      0.160703
           Wtt           875        42.533       2.51173     0.0590536
            WW            26       1.90379      0.472402      0.248138
            WZ            57       0.92363      0.238663      0.258396
            ZZ            42      0.256642     0.0603528      0.235163
            VH           130     0.0243186    0.00284155      0.116847
         bkg:           4564       425.813
          data          3210          3210
