    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            29       7.21518       1.50938      0.209195
       ttbarFT           149       21.0925       1.79829     0.0852575
       ttbarTF            20       2.87084      0.689321      0.240111
         ttbar            35       6.17996       1.18943      0.192466
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            23       3.18207      0.673577      0.211679
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             2      0.623325      0.458607      0.735743
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             3     0.0648392      0.038196      0.589089
            Zl             0             0             0             0
           Zcl             1    0.00601368    0.00601368             1
           Zbl             1    0.00791106    0.00791106             1
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb             6      0.306263      0.149915      0.489499
         Zttbc             2     0.0349904     0.0256025      0.731701
         Zttbl            54       1.59527      0.246987      0.154824
         Zttcc             1    0.00328516    0.00328516             1
         Zttcl            36      0.575497      0.226338      0.393291
          Zttl            80      0.392979      0.110586      0.281403
           Wtt            93       4.59635      0.644296      0.140176
            WW             3      0.111454     0.0643953      0.577772
            WZ             6     0.0784113     0.0994681       1.26854
            ZZ            10     0.0724456     0.0352811      0.487002
            ZH             0             0             0             0
         bkg:            554       49.0096
          data          1103          1103
