    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            66       18.3145       2.45083      0.133819
       ttbarFT           128       17.4463       1.59533     0.0914424
       ttbarTF           343       48.1302       2.75983      0.057341
         ttbar            33       4.63984      0.846016      0.182337
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            47       5.53555      0.890924      0.160946
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            11       2.63286      0.815825      0.309863
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             1     0.0213086     0.0213086             1
            Zl             0             0             0             0
           Zcl             1   4.63367e-05   4.63367e-05             1
           Zbl             4  -0.000440543    0.00102077      -2.31708
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             1     0.0224576     0.0224576             1
         Zttbb            52        1.7846        0.4309      0.241455
         Zttbc            25      0.132694     0.0351108      0.264599
         Zttbl           226      0.259749     0.0381708      0.146953
         Zttcc            28     0.0709864     0.0230506      0.324719
         Zttcl            97     0.0607734     0.0148801      0.244846
          Zttl           221     0.0055914   0.000986143      0.176368
           Wtt           516       3.39993       0.46281      0.136123
            WW             9     0.0556356     0.0497929      0.894982
            WZ            32      0.059798     0.0737704       1.23366
            ZZ            35     0.0664005     0.0306769      0.461997
            ZH             0             0             0             0
         bkg:           1876       102.639
          data           349           349
