    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            35       11.0194       1.91496      0.173781
       ttbarFT           423       59.4059       3.05405     0.0514099
       ttbarTF            50       7.59155       1.13083      0.148959
         ttbar           162       21.9319       1.79346     0.0817742
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            22       2.86057      0.616534      0.215528
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             2      0.540935      0.392973       0.72647
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             3     0.0950548     0.0561544      0.590757
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             0             0             0             0
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             2      0.021145     0.0151005       0.71414
         Zttbb            11      0.278307      0.123743      0.444628
         Zttbc             8     0.0294109     0.0135961       0.46228
         Zttbl            61     0.0589489       0.01358      0.230368
         Zttcc            11     0.0338187     0.0131396      0.388532
         Zttcl            18     0.0136508    0.00735538      0.538824
          Zttl            42   0.000487871   0.000500567       1.02603
           Wtt           136       1.44449        0.2951      0.204293
            WW             2   0.000982881   0.000712884      0.725301
            WZ            11     0.0494853     0.0452523      0.914461
            ZZ             8     0.0291299     0.0166289      0.570854
            VH            30    0.00209173   0.000565632      0.270414
         bkg:           1037       105.407
          data           183           183
