    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           171       46.9854       3.87613     0.0824965
       ttbarFT           375       54.3036       2.91097     0.0536054
       ttbarTF           529       75.1746       3.37056     0.0448364
         ttbar            81       11.6888        1.3586      0.116231
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            42       5.24957      0.863125      0.164418
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             5       1.38354      0.642845      0.464638
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             3     0.0851585     0.0494835      0.581075
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             3   0.000710512   0.000524595      0.738333
           Zcb             0             0             0             0
           Zbc             1     0.0052932     0.0052932             1
           Zbb             3     0.0646895     0.0447633      0.691971
         Zttbb            59        2.3528      0.459173       0.19516
         Zttbc            37      0.258092     0.0518186      0.200776
         Zttbl           216       0.34318     0.0548376      0.159793
         Zttcc            18     0.0711034      0.032734      0.460371
         Zttcl            68     0.0933536     0.0473621      0.507341
          Zttl           208    0.00907214    0.00170593       0.18804
           Wtt           423       4.04766      0.486372      0.120161
            WW             7     0.0391659     0.0354341      0.904717
            WZ            26      0.297262       0.14988      0.504203
            ZZ            28     0.0538297     0.0189589      0.352201
            ZH             0             0             0             0
         bkg:           2303       202.507
          data           637           637
