    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            35       10.8231       1.94485      0.179695
       ttbarFT            69       11.3058       1.47709      0.130649
       ttbarTF           504       71.2649       3.42782     0.0480997
         ttbar           124       17.8236       1.69592     0.0951504
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           180       22.8295       1.82603     0.0799857
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             4       1.20867      0.635295      0.525615
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             2     0.0659055     0.0466497      0.707827
            Zl             1   0.000923546   0.000923546             1
           Zcl             0             0             0             0
           Zbl             5      0.143906     0.0776414      0.539528
           Zcb             0             0             0             0
           Zbc             2     0.0257079     0.0221305      0.860846
           Zbb             0             0             0             0
         Zttbb            36        1.1467      0.234208      0.204246
         Zttbc            17      0.249337     0.0951331      0.381544
         Zttbl           236       5.36069      0.536161      0.100017
         Zttcc            13      0.214439     0.0960653      0.447984
         Zttcl            88      0.884022      0.397645      0.449814
          Zttl           199      0.382018     0.0654245       0.17126
           Wtt           555       23.0464       1.70488     0.0739758
            WW            20       1.53313      0.439286      0.286528
            WZ            39      0.581346       0.20458      0.351908
            ZZ            21      0.105883     0.0412983      0.390039
            VH            78     0.0119012    0.00152327      0.127993
         bkg:           2228       169.008
          data          1261          1261
