    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            25       6.61917       1.45205       0.21937
       ttbarFT            69       10.4807       1.29737      0.123786
       ttbarTF           226       33.0398       2.43762     0.0737782
         ttbar            30       4.22089      0.792924      0.187857
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            54        7.2244       1.06534      0.147463
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             4       1.14326       0.58264      0.509629
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             0             0             0             0
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             8     0.0771777     0.0439592      0.569584
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            22      0.811606      0.272602       0.33588
         Zttbc             8      0.181178     0.0755951      0.417242
         Zttbl           166       3.76499      0.528424      0.140352
         Zttcc             8      0.350347      0.153023      0.436776
         Zttcl            66       1.22054      0.288352      0.236249
          Zttl           147      0.262669     0.0709068      0.269947
           Wtt           313       12.2087       1.13062     0.0926084
            WW             5      0.336981      0.165012      0.489676
            WZ            23      0.787538      0.234992      0.298388
            ZZ            23     0.0957493     0.0550641      0.575086
            ZH             0             0             0             0
         bkg:           1197       82.8257
          data          1276          1276
