    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           310       47.0378       2.85757     0.0607504
       ttbarFT          2355        169.45       3.69987     0.0218346
       ttbarTF          3629       258.969       4.55435     0.0175865
         ttbar          9225       688.164       7.45373     0.0108313
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt          1633       222.486       5.69592     0.0256013
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            57       14.9624       2.24033      0.149731
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            30      0.973357      0.190914      0.196139
            Zl             6    0.00122252    0.00131215       1.07331
           Zcl             0             0             0             0
           Zbl            25      0.383355      0.100843      0.263053
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           773       18.0717       1.56095     0.0863752
         Zttbc           345       8.03946      0.849228      0.105632
         Zttbl          3989       93.5657        3.4423     0.0367903
         Zttcc           221       7.45806       1.09205      0.146425
         Zttcl           985       14.1465        1.5124       0.10691
          Zttl          2097       5.92823       1.06139       0.17904
           Wtt          1256       68.1635       3.21363      0.047146
            WW            86       1.68393      0.282608      0.167826
            WZ           586       3.21411      0.255647     0.0795392
            ZZ            86       1.40991      0.274033      0.194362
            VH          1201       0.26277      0.012569     0.0478327
         bkg:          28895       1624.37
          data          7375        3687.5
