    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           232       31.2336       2.26216     0.0724272
       ttbarFT           562       41.5348       1.93537     0.0465963
       ttbarTF          1078       79.4801       2.59474     0.0326464
         ttbar           412       33.2931       1.77129     0.0532027
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           201       26.8006        2.0282     0.0756774
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            30       6.17287       1.42368      0.230636
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            12      0.324306     0.0960744      0.296246
            Zl             4    0.00292277    0.00192453      0.658463
           Zcl             4     0.0842537     0.0581045      0.689638
           Zbl            14      0.283817     0.0778487      0.274292
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            48       1.52109      0.354703       0.23319
         Zttbc            32      0.695093      0.148014      0.212942
         Zttbl           463       12.2949        1.0677      0.086841
         Zttcc            13       0.18395     0.0643052      0.349579
         Zttcl           147        2.5492      0.498848      0.195688
          Zttl           332       1.62004      0.249254      0.153856
           Wtt           704       40.9558       2.50703      0.061213
            WW            39       1.29245      0.329959      0.255299
            WZ           182      0.969172      0.145042      0.149656
            ZZ            35      0.390938       0.09869      0.252444
            ZH             0             0             0             0
         bkg:           4544       281.683
          data          4462          2231
