    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           297       44.9004       2.78902     0.0621157
       ttbarFT          2279       164.149       3.63454     0.0221417
       ttbarTF          3489       248.627       4.45099     0.0179023
         ttbar          8715       652.979       7.26436     0.0111249
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt          1421       194.884       5.32942     0.0273466
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            52       13.0568       2.04221      0.156409
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            28      0.913302      0.186131        0.2038
            Zl             4    0.00220169     0.0011146      0.506247
           Zcl             0             0             0             0
           Zbl            20       0.38492      0.095026      0.246872
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           622       15.8972       1.30966     0.0823834
         Zttbc           284       6.78997      0.800994      0.117967
         Zttbl          3255       79.9645       3.25722     0.0407333
         Zttcc           167        6.7197       1.05942       0.15766
         Zttcl           795       13.2216        1.4254      0.107808
          Zttl          1726       5.20429       1.03389      0.198661
           Wtt          1023       59.5183       3.06744     0.0515377
            WW            67       1.25689      0.238343      0.189629
            WZ           511       2.85029      0.232254     0.0814842
            ZZ            71       1.35429       0.25503      0.188313
            VH           877      0.218398     0.0122931     0.0562875
         bkg:          25703       1512.89
          data          6900          3450
