    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            13       2.13748      0.622155      0.291069
       ttbarFT            76       5.30064      0.692216      0.130591
       ttbarTF           140        10.342      0.964757     0.0932856
         ttbar           510       35.1852        1.6695     0.0474488
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           212       27.6014       2.01017     0.0728287
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             5       1.90553      0.921133      0.483399
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             2     0.0600547     0.0424651      0.707107
            Zl             2  -0.000979172   0.000692379     -0.707107
           Zcl             0             0             0             0
           Zbl             5   -0.00156509     0.0337536      -21.5665
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           151       2.17454      0.849319      0.390574
         Zttbc            61       1.24949       0.28213      0.225796
         Zttbl           734       13.6012       1.11355      0.081872
         Zttcc            54      0.738368       0.26492      0.358792
         Zttcl           190      0.924851      0.505544      0.546622
          Zttl           371      0.723939       0.24004      0.331576
           Wtt           233       8.64516      0.958268      0.110844
            WW            19      0.427042      0.151854      0.355595
            WZ            75       0.36382      0.106836       0.29365
            ZZ            15     0.0556275       0.10027       1.80252
            VH           324     0.0443716    0.00261907     0.0590259
         bkg:           3192       111.478
          data           475         237.5
