    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF             6      0.649819      0.323135       0.49727
       ttbarFT            31       2.16234      0.396113      0.183187
       ttbarTF            64       4.54212       0.58666       0.12916
         ttbar            16       1.13135      0.289577      0.255958
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            12       1.79756      0.540273      0.300559
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             2      0.248506      0.175721      0.707107
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             0             0             0             0
            Zl             4   3.29678e-05   2.21186e-05      0.670917
           Zcl             0             0             0             0
           Zbl             1   0.000743768   0.000743768             1
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             2     0.0184243      0.013028      0.707107
         Zttbb            14      0.357635      0.112344      0.314131
         Zttbc            18      0.102857     0.0311631      0.302976
         Zttbl            81     0.0469418     0.0103786      0.221095
         Zttcc            11     -0.008277     0.0113154      -1.36709
         Zttcl            34     0.0118246    0.00346639      0.293151
          Zttl            70    0.00134198   0.000245667      0.183063
           Wtt           137        1.1347      0.234828      0.206951
            WW             8    0.00137648    0.00056072      0.407359
            WZ            40     0.0573527     0.0262371      0.457469
            ZZ             4     0.0515866     0.0291044      0.564186
            ZH             0             0             0             0
         bkg:            555       12.3082
          data            45          22.5
