    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           343       100.949       5.96221     0.0590614
       ttbarFT          2494       363.329       7.62095     0.0209753
       ttbarTF           231       33.1766       2.33106     0.0702623
         ttbar           724        101.73       3.93724     0.0387027
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           359       46.8374        2.5811     0.0551075
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            50       13.9088       2.04957      0.147358
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            10      0.276514     0.0955201      0.345444
            Zl             1     0.0163837     0.0163837             1
           Zcl             1    0.00982352    0.00982352             1
           Zbl             4      0.141938     0.0904868      0.637511
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             2     0.0410176     0.0295003       0.71921
         Zttbb            48        1.2166      0.306922      0.252278
         Zttbc            26      0.349799      0.268561      0.767758
         Zttbl           359       9.49683      0.820966     0.0864463
         Zttcc            16      0.270495     0.0910745      0.336696
         Zttcl           124       1.60591      0.513086        0.3195
          Zttl           291      0.744879      0.168535      0.226257
           Wtt           685       36.7822       2.53817     0.0690052
            WW            47      0.856329       0.21341      0.249214
            WZ           125       1.16048      0.166626      0.143583
            ZZ            10      0.170126     0.0914426      0.537501
            VH            97     0.0217957    0.00366052      0.167947
         bkg:           6047       713.093
          data          7477          7477
