    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           181        50.412       4.05819     0.0805005
       ttbarFT           300       47.6377       3.02089     0.0634139
       ttbarTF           503       74.3351       3.56591     0.0479707
         ttbar           150        22.477       1.97763     0.0879846
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            97       13.0991       1.36122      0.103917
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            12       3.06918      0.945328      0.308006
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             3      0.102967     0.0613237      0.595564
            Zl             0             0             0             0
           Zcl             2    0.00941968    0.00692267      0.734916
           Zbl            11      0.398915      0.207389      0.519884
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            16      0.746566      0.280358       0.37553
         Zttbc            11      0.129971      0.245958       1.89241
         Zttbl           175       4.45191      0.558809      0.125521
         Zttcc             8      0.341574      0.183179      0.536279
         Zttcl            53       1.00197      0.225716      0.225272
          Zttl           149      0.460841      0.259984      0.564151
           Wtt           358       17.8733       1.89888      0.106241
            WW            30      0.617389      0.163344      0.264572
            WZ           115       0.96196      0.188356      0.195804
            ZZ            14      0.170028      0.078317      0.460613
            ZH             0             0             0             0
         bkg:           2188       238.297
          data          4297          4297
