    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           198       61.5366       4.64043     0.0754093
       ttbarFT           975        138.71       4.64251     0.0334692
       ttbarTF          1093       155.354       4.93106     0.0317408
         ttbar           599       84.8594       3.58598     0.0422579
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            98       12.9497       1.33554      0.103133
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            19       3.86308       1.22421      0.316901
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             8      0.249199     0.0918646      0.368639
            Zl             1   1.08603e-05   1.08603e-05             1
           Zcl             0             0             0             0
           Zbl             1   0.000163733   0.000163733             1
           Zcb             0             0             0             0
           Zbc             1    0.00382271    0.00382271             1
           Zbb             0             0             0             0
         Zttbb            57       1.36852      0.346959      0.253528
         Zttbc            41       0.21464     0.0416782      0.194177
         Zttbl           208      0.176957     0.0367688      0.207784
         Zttcc            27     0.0802279     0.0311052       0.38771
         Zttcl            65     0.0586002     0.0139753      0.238485
          Zttl           160     0.0117752    0.00266589      0.226399
           Wtt           592       7.10104      0.955414      0.134546
            WW            37     0.0561791     0.0246272       0.43837
            WZ           142      0.294238     0.0710419      0.241444
            ZZ             9     0.0221624     0.0171243      0.772674
            VH            64     0.0093869    0.00223649      0.238256
         bkg:           4395        466.92
          data          1018          1018
