    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            38       10.2237       1.89793      0.185641
       ttbarFT            59       9.03196       1.27596      0.141271
       ttbarTF           146       20.5757       1.87696     0.0912225
         ttbar            34       4.93216      0.919352        0.1864
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            62       8.60762       1.11091      0.129061
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             5      0.799305      0.545927      0.683002
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             2     0.0351637      0.025097       0.71372
            Zl             0             0             0             0
           Zcl             2     0.0679251     0.0484617      0.713458
           Zbl             6     0.0394918     0.0300851      0.761808
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            23      0.467543      0.136008        0.2909
         Zttbc            10      0.388591      0.251686      0.647688
         Zttbl           186       3.23717      0.361767      0.111754
         Zttcc            12      0.123288      0.063829      0.517724
         Zttcl            62      0.458655      0.110475      0.240867
          Zttl           173      0.421791      0.146593      0.347549
           Wtt           328       10.1009      0.958947     0.0949369
            WW            11      0.156008     0.0596682      0.382469
            WZ            66      0.664858      0.118953      0.178914
            ZZ             5     0.0938272      0.049486      0.527416
            ZH             0             0             0             0
         bkg:           1230       70.4256
          data          1182          1182
