    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF             7       1.94521      0.793398      0.407874
       ttbarFT            20        2.8014      0.636025      0.227038
       ttbarTF             3      0.430433      0.249073      0.578656
         ttbar             1     0.0412999     0.0412999             1
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt             8       1.12977      0.442211      0.391416
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             1      0.380416      0.380416             1
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             1     0.0439948     0.0439948             1
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             1    0.00533653    0.00533653             1
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             1     0.0179352     0.0179352             1
         Zttbb             4     0.0827326     0.0473415      0.572224
         Zttbc             1    0.00472526    0.00472526             1
         Zttbl            37      0.447721       0.10465       0.23374
         Zttcc             3     0.0181099     0.0117269      0.647538
         Zttcl            14     0.0863666     0.0465211      0.538647
          Zttl            40     0.0366759     0.0109382      0.298239
           Wtt            70       1.18438      0.279791      0.236234
            WW             3     0.0743768     0.0538583      0.724127
            WZ             9     0.0971676     0.0435889      0.448595
            ZZ             1   -0.00692711    0.00692711            -1
            ZH             0             0             0             0
         bkg:            225       8.82113
          data           156           156
