    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           160       19.7714       1.65693     0.0838042
       ttbarFT           703       61.2375       2.42517     0.0396027
       ttbarTF          1226        104.68       3.16136     0.0302001
         ttbar          3346       287.708       5.23423     0.0181929
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           689       86.7254       3.47643     0.0400855
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            25       5.27106       1.17607      0.223118
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            10      0.356311      0.114944      0.322596
            Zl             0             0             0             0
           Zcl             1    0.00577952    0.00577952             1
           Zbl             2   -0.00717373     0.0355799      -4.95976
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb           321       9.28013      0.979941      0.105596
         Zttbc           128       3.64516      0.926248      0.254104
         Zttbl          1609       37.0553       2.06282     0.0556687
         Zttcc            64       2.11868      0.439027      0.207217
         Zttcl           395       6.02511      0.754551      0.125234
          Zttl           876       1.22509      0.154113      0.125797
           Wtt           760       39.7436       2.41577     0.0607839
            WW            11       1.04841      0.429529      0.409697
            WZ            69       1.60201      0.343784      0.214595
            ZZ            56      0.474633      0.112637      0.237314
            VH           629      0.111355    0.00617465       0.05545
         bkg:          11080       668.078
          data          2897        1448.5
