    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           309       37.0151        2.2428     0.0605914
       ttbarFT          1512       134.163       3.64049     0.0271347
       ttbarTF          2049        182.98       4.26948     0.0233331
         ttbar          5064         463.4       6.86205      0.014808
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt          1155       152.175       4.72812     0.0310702
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            38       10.4605       1.82882       0.17483
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            15      0.481897       0.13243      0.274809
            Zl             4     0.0418501     0.0400947      0.958054
           Zcl             1     0.0358071     0.0358071             1
           Zbl            11      0.230426     0.0785218      0.340767
           Zcb             0             0             0             0
           Zbc             1     0.0278864     0.0278864             1
           Zbb             4     0.0961713     0.0497862      0.517683
         Zttbb           575       19.2725       2.03114      0.105391
         Zttbc           256        5.6466       0.66696      0.118117
         Zttbl          2819       69.8584       2.97539     0.0425917
         Zttcc           123       2.91853      0.897295      0.307448
         Zttcl           740       10.0302       1.22767      0.122398
          Zttl          1626       3.37477      0.776817      0.230184
           Wtt           990       58.7714       3.33343     0.0567186
            WW            19       1.21074      0.466641      0.385417
            WZ           123       2.98008      0.495369      0.166227
            ZZ            85       1.00791      0.180666      0.179249
            VH          1109       0.22057    0.00972178     0.0440758
         bkg:          18628        1156.4
          data          4950          2475
