    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            34       4.03401      0.712354      0.176587
       ttbarFT            63       5.66528      0.739792      0.130583
       ttbarTF           172        14.359       1.13632     0.0791364
         ttbar            39       3.69798      0.605941      0.163857
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            15       1.88231      0.496633      0.263842
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             5        1.2406       0.57097      0.460237
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             0             0             0             0
            Zl             0             0             0             0
           Zcl             1   0.000297804   0.000297804             1
           Zbl             1   0.000115698   0.000115698             1
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            18      0.499983      0.192908      0.385829
         Zttbc            13     0.0904267      0.038811      0.429199
         Zttbl            83      0.104259     0.0284874      0.273236
         Zttcc            10     0.0275229     0.0163512      0.594093
         Zttcl            38     0.0283534     0.0102502      0.361515
          Zttl            71    0.00576378    0.00157608      0.273445
           Wtt           150       1.00236      0.235257      0.234703
            WW             1    0.00048284    0.00048284             1
            WZ             7     0.0539518     0.0533879      0.989548
            ZZ             8     0.0565589     0.0312854      0.553147
            ZH             0             0             0             0
         bkg:            729       32.7493
          data           137          68.5
