    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            77         8.466       1.02275      0.120807
       ttbarFT           126       10.8631       1.01139     0.0931038
       ttbarTF           306       26.2514       1.56371      0.059567
         ttbar            76         7.168      0.851506      0.118793
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            29       3.71698      0.714261      0.192162
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            10       2.27183      0.769265       0.33861
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             0             0             0             0
            Zl             0             0             0             0
           Zcl             1   0.000297804   0.000297804             1
           Zbl             2   0.000231397   0.000163622      0.707107
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             1     0.0188027     0.0188027             1
         Zttbb            20       0.64514      0.186337      0.288832
         Zttbc            20      0.145648     0.0481927      0.330884
         Zttbl           124      0.192874     0.0324546      0.168269
         Zttcc            18     0.0692464     0.0295144      0.426223
         Zttcl            51     0.0528542     0.0130665      0.247217
          Zttl            94    0.00839548    0.00207112      0.246694
           Wtt           267       1.93898       0.35842       0.18485
            WW             3      0.011734     0.0105774      0.901433
            WZ            17       0.11194     0.0681234      0.608572
            ZZ            13     0.0839498     0.0403403      0.480529
            ZH             0             0             0             0
         bkg:           1255       62.0173
          data           253         126.5
