    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF             3      0.235072      0.149991      0.638065
       ttbarFT            10      0.834843      0.277239      0.332085
       ttbarTF            38       3.29603      0.575722      0.174671
         ttbar           117       9.82749      0.968494     0.0985495
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            76       9.76407        1.1887      0.121742
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             0             0             0             0
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             1     0.0241076     0.0241076             1
            Zl             0             0             0             0
           Zcl             1    0.00577952    0.00577952             1
           Zbl             0             0             0             0
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            43       1.37943      0.439892      0.318894
         Zttbc            18       0.52305      0.586553       1.12141
         Zttbl           172       3.26774      0.459709      0.140681
         Zttcc            10      0.394462      0.163133      0.413557
         Zttcl            39      0.555178      0.172071      0.309938
          Zttl           101      0.145355     0.0484766      0.333505
           Wtt            81       2.78448      0.544987      0.195723
            WW             1       0.16128       0.16128             1
            WZ             2     0.0950353     0.0861172       0.90616
            ZZ             5     0.0487777     0.0326929      0.670244
            VH            89     0.0107765    0.00140447      0.130327
         bkg:            807        33.353
          data            86            43
