    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            32       3.15108      0.629617       0.19981
       ttbarFT            36       3.13759       0.55659      0.177394
       ttbarTF            61       5.60349      0.748596      0.133594
         ttbar            22       2.21927      0.475697      0.214348
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            39        5.1416      0.859375      0.167141
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             2      0.685916      0.551234      0.803646
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             2     0.0682683     0.0482731      0.707108
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             4     0.0703941      0.035199      0.500027
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            26      0.569606      0.185397      0.325483
         Zttbc             5      0.132025     0.0790426      0.598694
         Zttbl           114       2.07615      0.219674      0.105808
         Zttcc            13      0.302504      0.130468      0.431294
         Zttcl            51      0.467415      0.144706      0.309588
          Zttl           135      0.161443      0.045507      0.281877
           Wtt           208        6.6178      0.785968      0.118766
            WW             1    0.00373967    0.00373967             1
            WZ            10      0.123558     0.0903983      0.731625
            ZZ             9      0.151591     0.0565095      0.372777
            ZH             0             0             0             0
         bkg:            770       30.6835
          data           455         227.5
