    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           654        152.31       6.34885     0.0416839
       ttbarFT           904       155.291       5.53489      0.035642
       ttbarTF          1387        245.48       6.97563     0.0284163
         ttbar           158       27.9008        2.3893     0.0856354
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           149       18.9145       1.60936     0.0850863
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            31       6.48499       1.37846      0.212562
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            14       0.48232      0.134591       0.27905
            Zl             3     4.629e-05   3.65071e-05      0.788659
           Zcl             1   0.000279453   0.000279453             1
           Zbl            19    0.00487801    0.00155276      0.318319
           Zcb             0             0             0             0
           Zbc             5     0.0157399    0.00978418      0.621617
           Zbb             5     0.0783557      0.038144      0.486806
         Zttbb           130       4.60241      0.652635      0.141803
         Zttbc            87      0.541803     0.0783936       0.14469
         Zttbl           556      0.766802      0.128041       0.16698
         Zttcc            70      0.280501     0.0582575      0.207691
         Zttcl           213      0.176269     0.0279063      0.158316
          Zttl           645     0.0287583    0.00312711      0.108738
           Wtt          1378       10.9827      0.892087     0.0812264
            WW            30      0.192615     0.0905906      0.470319
            WZ            87      0.655449      0.178009      0.271584
            ZZ            59      0.193123     0.0704334      0.364708
            ZH             0             0             0             0
         bkg:           6585       625.383
          data          2191          2191
