    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF          1180       300.133       9.13684     0.0304426
       ttbarFT          3151       572.662       10.7081     0.0186988
       ttbarTF          4055       737.635       12.2111     0.0165544
         ttbar          1702       305.438       7.74082     0.0253433
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt          1158       151.462       4.66234     0.0307822
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt           111       27.7047       2.81518      0.101614
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops            27      0.871731      0.175166      0.200941
            Zl             2    0.00129254   0.000938653      0.726207
           Zcl             4     0.0971058     0.0588605      0.606148
           Zbl            21      0.707152      0.247991       0.35069
           Zcb             0             0             0             0
           Zbc             2   -0.00719859       0.03682      -5.11488
           Zbb             1     0.0269474     0.0269474             1
         Zttbb           148       5.03025      0.626287      0.124504
         Zttbc            82       2.09872      0.536658      0.255708
         Zttbl           986       24.7738       2.03097     0.0819808
         Zttcc            47       1.61562       0.42058      0.260321
         Zttcl           275        5.6738       0.66796      0.117727
          Zttl           684       2.07209       0.55968      0.270104
           Wtt          1766        105.73       3.78985     0.0358447
            WW            46        3.1019      0.703226      0.226708
            WZ           111       4.10476      0.624532      0.152148
            ZZ            57      0.794813      0.231376      0.291107
            VH           414      0.109942    0.00814418      0.074077
         bkg:          16030       2251.84
          data         16648         16648
