    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF           321       75.0322       4.41436     0.0588329
       ttbarFT           775       134.228       5.15086     0.0383741
       ttbarTF            91       16.9487       1.83689       0.10838
         ttbar            64       10.9093       1.56131      0.143118
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            37       4.70832      0.802355      0.170412
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            19       4.04101       1.15136       0.28492
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             5      0.183703     0.0845363      0.460179
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             5    0.00145067    0.00071037      0.489683
           Zcb             0             0             0             0
           Zbc             3     0.0135828    0.00956343      0.704082
           Zbb             3     0.0581843     0.0348617      0.599159
         Zttbb            25      0.746694      0.193113      0.258624
         Zttbc            18      0.108636     0.0297853      0.274174
         Zttbl           148      0.338093      0.109625      0.324246
         Zttcc            20     0.0876507     0.0391692      0.446878
         Zttcl            51     0.0670171     0.0179139      0.267303
          Zttl           185    0.00784411    0.00115585      0.147353
           Wtt           322       2.14411      0.356528      0.166282
            WW             6     0.0160955     0.0123476      0.767148
            WZ            32      0.162401      0.077792      0.479013
            ZZ            17     0.0329587     0.0144365      0.438019
            ZH             0             0             0             0
         bkg:           2147       249.836
          data           992           992
