    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            67       15.5612         2.005      0.128846
       ttbarFT           161       27.7604       2.31212     0.0832885
       ttbarTF           284        44.862       2.94064     0.0655486
         ttbar           128       21.3428       1.97807     0.0926807
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt           127        15.449       1.46754     0.0949925
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt            16       4.45707       1.17614      0.263882
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             2     0.0684279     0.0489736      0.715697
            Zl             2    4.6528e-06   3.40295e-06      0.731376
           Zcl             2   0.000491726   0.000406979      0.827655
           Zbl             6     0.0014597    0.00071326      0.488633
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             4     0.0796948     0.0413899      0.519355
         Zttbb            71       1.27892      0.453992      0.354981
         Zttbc            42      0.159492     0.0366519      0.229804
         Zttbl           303       0.20173     0.0307569      0.152466
         Zttcc            24     0.0643589     0.0218368      0.339297
         Zttcl           113     0.0440407     0.0180627      0.410137
          Zttl           274    0.00498136    0.00174079      0.349461
           Wtt           701       5.37498      0.637711      0.118644
            WW             9      0.434555      0.242071      0.557054
            WZ            36      0.538813      0.200951      0.372952
            ZZ            13      0.056975     0.0278635      0.489048
            VH           145    0.00848921   0.000845761     0.0996277
         bkg:           2530        137.75
          data           318           318
