    sampleName       entries      integral         error  error/integ.
          Fake             0             0             0             0
       ttbarFF            18       4.51836       1.11536       0.24685
       ttbarFT            59       10.2108       1.40824      0.137916
       ttbarTF             7       1.17807      0.467861      0.397141
         ttbar            22       3.92395      0.874881      0.222959
      stopWtFF             0             0             0             0
      stopWtFT             0             0             0             0
      stopWtTF             0             0             0             0
        stopWt            14       1.60474      0.445821      0.277814
       stoptFF             0             0             0             0
       stoptFT             0             0             0             0
       stoptTF             0             0             0             0
         stopt             4      0.847541       0.42409      0.500377
       stopsFF             0             0             0             0
       stopsFT             0             0             0             0
       stopsTF             0             0             0             0
         stops             3      0.144465     0.0842559      0.583227
            Zl             0             0             0             0
           Zcl             0             0             0             0
           Zbl             1   0.000265309   0.000265309             1
           Zcb             0             0             0             0
           Zbc             0             0             0             0
           Zbb             0             0             0             0
         Zttbb            22      0.447625      0.149523      0.334037
         Zttbc             5    0.00834512    0.00469054       0.56207
         Zttbl            72     0.0389714    0.00990162      0.254074
         Zttcc             8      0.012768     0.0053371      0.418007
         Zttcl            32    0.00633043    0.00236354      0.373362
          Zttl            81    0.00212439   0.000875996      0.412351
           Wtt           261       1.24064      0.245178      0.197622
            WW             2    0.00312847    0.00221235      0.707166
            WZ            10     0.0736841     0.0590129      0.800891
            ZZ             4    0.00894338    0.00537726      0.601256
            VH            17   0.000887887    0.00025381      0.285859
         bkg:            642       24.2717
          data            86            86
